apartment_id,controller,T_star,RH_star,comfort_mean,comfort_std,energy_cop_kwh_mean,energy_cop_kwh_std,energy_simple_kwh_mean,energy_saving_kwh,safety_penalty_mean,switches_per_hour,total_reward_mean,n_episodes
AP12,RL_PPO,27.5,73.0,0.7299163028832859,0.0008259175327721258,2.9946244322711792,0.009318334468083521,7.5,4.505375567728821,0.0,0.5833333333333334,92.58570941226363,3
AP12,Fixed_26C,27.5,73.0,0.5225895316380978,0.004174062217803176,6.841503809897373,0.12390709214524022,24.0,17.15849619010263,0.0,0.0,90.13611082272415,3
AP12,Fixed_27C,27.5,73.0,0.6299592088005288,0.01248293164357698,6.271970457180909,0.1193556190021842,24.0,17.72802954281909,0.0,0.0,91.33200307427124,3
AP12,Rule_Based,27.5,73.0,0.6465116778883733,0.07249358025918591,5.585499711726711,0.20268940040782224,24.0,18.414500288273288,0.0,0.3194444444444445,91.49548265700692,3
AP12,Random,27.5,73.0,0.4443202579917345,0.03605431058926169,5.171924523883107,0.22988272097509094,21.5,16.328075476116894,0.0,2.7083333333333335,88.8610280556138,3
AP12,Rule_Bayesian,27.5,73.0,0.6942751574245105,0.007723938682666572,5.564559734762824,0.1926556378620566,24.0,18.435440265237176,0.0,0.375,92.00243802052522,3
AP13,RL_PPO,27.75,71.0,0.7795673321927977,0.026359039471284023,3.026655104542828,0.06498246761754842,7.5,4.473344895457172,0.0,0.5833333333333334,93.12477274309724,3
AP13,Fixed_26C,27.75,71.0,0.48218235179822105,0.01429615639239331,6.856395159437624,0.062167157658476815,24.0,17.143604840562375,0.0,0.0,89.70924156980323,3
AP13,Fixed_27C,27.75,71.0,0.6009487250440803,0.011796573301015087,6.301696958778897,0.08724776871912136,24.0,17.698303041221102,0.0,0.0,91.02370342509691,3
AP13,Rule_Based,27.75,71.0,0.611083215280632,0.06325422189522814,5.577462075187295,0.15469046024149655,24.0,18.422537924812705,0.0,0.375,91.1129833479821,3
AP13,Random,27.75,71.0,0.40229785925626255,0.020465037316284365,5.450666576530378,0.22924372878508986,21.75,16.299333423469623,0.0,2.6111111111111107,88.45406012931487,3
AP13,Rule_Bayesian,27.75,71.0,0.6628941416765429,0.0065792319488539005,5.383462852937609,0.08609496651710837,24.0,18.61653714706239,0.0,0.5972222222222222,91.67689665749702,3
AP14,RL_PPO,27.0,73.0,0.7028417351917818,0.002387935438087238,2.996726163128057,0.00818646742840708,7.5,4.5032738368719425,0.0,0.5833333333333334,92.30822173409508,3
AP14,Fixed_26C,27.0,73.0,0.5430443326293369,0.0013559792856745485,6.925133612707371,0.030198888265256737,24.0,17.07486638729263,0.0,0.0,90.36570531984205,3
AP14,Fixed_27C,27.0,73.0,0.6356889700531949,0.0004272774299969826,6.349038842056984,0.054731773711138874,24.0,17.650961157943016,0.0,0.0,91.40832435222383,3
AP14,Rule_Based,27.0,73.0,0.6771432367817997,0.03934117034448935,5.708710554037549,0.14110480706425435,24.0,18.29128944596245,0.0,0.3055555555555556,91.83156320086562,3
AP14,Random,27.0,73.0,0.4583202048135459,0.023840453463279728,5.04715910585049,0.30470653599493697,21.916666666666668,16.869507560816178,0.0,2.8333333333333335,89.10814089015257,3
AP14,Rule_Bayesian,27.0,73.0,0.6923649809875095,0.0020024813793721435,5.869197241364038,0.04773204054816859,24.0,18.130802758635962,0.0,0.47222222222222227,91.96075879742735,3
AP15,RL_PPO,28.0,76.0,0.683430964375463,0.004091882299658031,2.9979491629075774,0.009461079671405921,7.5,4.502050837092423,0.0,0.5833333333333334,92.09139557751304,3
AP15,Fixed_26C,28.0,76.0,0.5127660030798388,0.004131700092430723,6.876087980687814,0.07390731536370326,24.0,17.123912019312186,0.0,0.0,90.03264697731521,3
AP15,Fixed_27C,28.0,76.0,0.6260064516646926,0.010713797787868228,6.336026659968944,0.1111250871114328,24.0,17.663973340031056,0.0,0.0,91.28663817479303,3
AP15,Rule_Based,28.0,76.0,0.6361296752644735,0.0779677725717747,5.651850815516032,0.1917012745865929,24.0,18.34814918448397,0.0,0.34722222222222227,91.37539719489142,3
AP15,Random,28.0,76.0,0.390343023421505,0.014202478114220637,5.088005276848479,0.38445905527792357,21.583333333333332,16.49532805648485,0.0,2.888888888888889,88.36144688265283,3
AP15,Rule_Bayesian,28.0,76.0,0.7208127581940609,0.007905043898168441,5.394429916847604,0.0326438407325347,24.0,18.605570083152397,0.0,0.5833333333333334,92.28242318396093,3
AP16,RL_PPO,26.5,73.0,0.6613219223364863,0.004495358939539052,2.986963255526891,0.012787288166137155,7.5,4.5130367444731085,0.0,0.5833333333333334,91.86368134569852,3
AP16,Fixed_26C,26.5,73.0,0.5499117890342569,0.0013702218044342421,6.882411762792295,0.06957360233526287,24.0,17.117588237207706,0.0,0.0,90.4288374506737,3
AP16,Fixed_27C,26.5,73.0,0.6190084900465358,0.005810455362416392,6.321821594989643,0.09101249353528632,24.0,17.678178405010357,0.0,0.0,91.21903528843536,3
AP16,Rule_Based,26.5,73.0,0.6740706915742241,0.033844386388680314,5.667136733197526,0.200880889379788,24.0,18.332863266802473,0.0,0.3333333333333333,91.7825257344499,3
AP16,Random,26.5,73.0,0.4924679242091214,0.01852154937912773,4.862025148382294,0.17207114705248683,21.083333333333332,16.221308184951038,0.0,2.763888888888889,89.44862534793963,3
