apartment_id,controller,T_star,RH_star,comfort_mean,comfort_std,energy_cop_kwh_mean,energy_cop_kwh_std,energy_simple_kwh_mean,energy_saving_kwh,safety_penalty_mean,switches_per_hour,total_reward_mean,n_episodes,comfort_fixed26,energy_fixed26,comfort_gain,energy_saving_cop
AP44,Rule_Bayesian,28.0,72.0,0.6896654667813235,0.005621153557475975,5.464978491743429,0.1087038498990354,24.0,18.53502150825657,0.0,0.5555555555555556,91.96236471442785,3,0.4800487868064807,6.884057815831881,0.20961667997484273,1.4190793240884512
AP18,Rule_Bayesian,28.0,69.0,0.6394114966772141,0.011340359778770386,5.453264249866268,0.12008122168237662,24.0,18.54673575013373,0.0,0.40277777777777785,91.44821248764907,3,0.42993988658599164,6.929312444998179,0.20947161009122245,1.476048195131911
AP17,Rule_Bayesian,28.0,69.0,0.6243984442307001,0.0013836710667528547,5.372552873912227,0.04307685016624242,24.0,18.627447126087773,0.0,0.5,91.27012817883129,3,0.41592158239042093,6.939572975489771,0.2084768618402792,1.567020101577544
AP15,Rule_Bayesian,28.0,76.0,0.7208127581940609,0.007905043898168441,5.394429916847604,0.0326438407325347,24.0,18.605570083152397,0.0,0.5833333333333334,92.28242318396093,3,0.5127660030798388,6.876087980687814,0.2080467551142221,1.48165806384021
AP47,Rule_Bayesian,28.0,70.0,0.6515343609368173,0.010066775380980036,5.386116339981991,0.14187443899122115,24.0,18.613883660018008,0.0,0.513888888888889,91.55773634489219,3,0.4530777482578918,6.876627688706518,0.19845661267892545,1.4905113487245263
AP25,Rule_Bayesian,27.75,72.0,0.688138447021954,0.016043407278299768,5.484597859666683,0.16587560845518387,24.0,18.515402140333318,0.0,0.5,91.94293755222337,3,0.49487437939185086,6.863294279447589,0.19326406763010318,1.3786964197809066
AP40,Rule_Bayesian,27.5,75.0,0.7293368571434611,0.0026946402997582017,5.559924238586042,0.10027739580218899,24.0,18.440075761413958,0.0,0.47222222222222215,92.37638721919551,3,0.5375428749245721,6.91840106899937,0.191793982218889,1.358476830413328
AP11,Rule_Bayesian,27.25,79.0,0.7497875392375182,0.017568454630277806,5.638662696238062,0.05309349943956382,24.0,18.36133730376194,0.0,0.5833333333333334,92.56984195806074,3,0.5610653031813184,6.895594605808584,0.18872223605619975,1.2569319095705218
AP29,Rule_Bayesian,27.75,73.0,0.6916838292401062,0.0012691364143481688,5.373911142375363,0.04167687750051948,24.0,18.626088857624637,0.0,0.638888888888889,91.97254100139276,3,0.5045285457156604,6.881668013297674,0.18715528352444577,1.5077568709223117
AP43,Rule_Bayesian,28.0,70.0,0.6472509330816041,0.0020413770147786614,5.330011152363276,0.05152103304266978,24.0,18.669988847636724,0.0,0.6388888888888888,91.49810904820443,3,0.46291133704498394,6.838680976933834,0.18433959603662015,1.5086698245705588
AP19,Rule_Bayesian,28.0,67.0,0.59605619798102,0.01096631505147657,5.439342376626182,0.0865044649223107,24.0,18.560657623373817,0.0,0.5555555555555556,90.96877066442516,3,0.4117743006782402,6.877783570239809,0.18428189730277983,1.4384411936136274
AP13,Rule_Bayesian,27.75,71.0,0.6628941416765429,0.0065792319488539005,5.383462852937609,0.08609496651710837,24.0,18.61653714706239,0.0,0.5972222222222222,91.67689665749702,3,0.48218235179822105,6.856395159437624,0.18071178987832187,1.4729323065000148
AP27,Rule_Bayesian,27.75,71.0,0.663096375353501,0.005719712328702869,5.413931450143529,0.0932180693650623,24.0,18.58606854985647,0.0,0.5972222222222222,91.6755450926223,3,0.48321457718119953,6.860549640295606,0.17988179817230143,1.4466181901520763
AP12,Rule_Bayesian,27.5,73.0,0.6942751574245105,0.007723938682666572,5.564559734762824,0.1926556378620566,24.0,18.435440265237176,0.0,0.375,92.00243802052522,3,0.5225895316380978,6.841503809897373,0.17168562578641267,1.2769440751345487
AP45,Rule_Bayesian,27.5,72.0,0.6809091348008726,0.007192539696632087,5.500505500824275,0.1390196903101915,24.0,18.499494499175725,0.0,0.3611111111111111,91.85209368482099,3,0.5144736434820992,6.786531870132425,0.16643549131877333,1.28602636930815
AP35,Rule_Bayesian,27.5,70.0,0.6349536322248116,0.0036310513468765567,5.528649312256456,0.060909103487965154,24.0,18.471350687743545,0.0,0.4166666666666667,91.37917208196428,3,0.4802474374323851,6.858108106186665,0.15470619479242648,1.3294587939302094
AP14,Rule_Bayesian,27.0,73.0,0.6923649809875095,0.0020024813793721435,5.869197241364038,0.04773204054816859,24.0,18.130802758635962,0.0,0.47222222222222227,91.96075879742735,3,0.5430443326293369,6.925133612707371,0.1493206483581726,1.055936371343333
AP6,Rule_Bayesian,27.25,69.0,0.6159788898590334,0.009118149072506354,5.56716902920592,0.13009123389735447,24.0,18.43283097079408,0.0,0.6111111111111112,91.14254282259257,3,0.4760897191353178,6.82526557164931,0.1398891707237156,1.2580965424433899
AP21,Rule_Bayesian,27.5,69.0,0.6172948892524898,0.0038948117355724014,5.5387177143058866,0.16541284904534626,24.0,18.461282285694114,0.003472222222222222,0.3611111111111111,90.56812535046883,3,0.4778153162197156,6.800417583328368,0.13947957303277414,1.2616998690224817
AP22,Rule_Bayesian,27.75,65.0,0.5195250313068401,0.013837506168268681,5.384735067615307,0.049689840754883995,24.0,18.615264932384694,0.0,0.6944444444444445,90.14839424964573,3,0.38990443760747157,6.851384675155977,0.12962059369936857,1.4666496075406696
AP16,Rule_Bayesian,26.5,73.0,0.667593107572737,0.0015938954562162108,5.955299898147568,0.021730790849172458,24.0,18.04470010185243,0.0,0.625,91.62743521158347,3,0.5499117890342569,6.882411762792295,0.11768131853848018,0.9271118646447274
AP4,Rule_Bayesian,26.25,68.0,0.5633930505438897,0.00717907471274211,5.776799269954149,0.15674119613391296,24.0,18.22320073004585,0.003472222222222222,0.7222222222222223,89.9250214354971,3,0.4589307339569362,6.80429533300939,0.10446231658695349,1.0274960630552403
AP28,Rule_Bayesian,27.25,64.0,0.4820019277066246,0.013299940493324957,5.79064645531759,0.11201770117359955,24.0,18.20935354468241,0.0,0.5277777777777778,89.73964978743072,3,0.3831685135812475,6.893135333811219,0.0988334141253771,1.102488878493629
